id,venue_type,venue_post_title,venue_name,venue_address1,venue_city,venue_prov,venue_postal,venue_country,venue_phone,venue_website,venue_dna_neighbourhood,venue_dna_atmosphere,venue_dna_pricepoint,venue_categories,venue_dna_dresscode,venue_dna_excerpt,venue_dna_review,venue_dna_conversation,venue_dna_convenience,venue_dna_comfort
1,tapas/small plates,Origin Restaurant,Origin Restaurant,107 King St. E,Toronto,ON,M5C1G6,Canada,416.603.8009,http://origintoronto.com,St. Lawrence Market,"romantic, relaxed",$50+,molecular gastronomy,"formal, stylish",,this place was awesome!,1,1,1
2,lounges,The Comrade,The Comrade,758 Queen St. E,Toronto,ON,M4M1H4,Canada,416.778.9449,,Riverside,"romantic, relaxed",$10-$25,charcuterie,,,this place was not so great,1,1,1
3,botanical gardens,Explore Toronto Botanical Gardens,Toronto Botanical Gardens,777 Lawrence Ave East,Toronto,ON,M3C1P2,Canada,416.397.1340,www.torontobotanicalgarden.ca,North York,"relaxed, romantic",$0 ,,casual,,go here again!,1,1,0
4,museums,Half of Friday's at the ROM,Royal Ontario Museum,100 Queen's Park,Toronto,ON,M5S2C6,Canada,416.586.5000,www.rom.on.ca,Yorkville,"fun, relaxed",$10-$25,,"casual, stylish",,,1,1,1
5,comedy clubs,The Second City,The Second City Mainstage,51 Mercert St,Toronto,ON,M5V9G9,Canada,416-343-0011,www.secondcity.com,Entertainment District,fun,$10-$50,pub,"casual, stylish",,nothing to say here,1,1,1
6,coffee & tea,Te Aro Roasted Cafe,Te Aro Roasted,983 Queen St. East,Toronto,ON,,Canada,1.877.558.3276,http://www.te-aro.ca, Leslieville,relaxed,< $10,,casual,,so cool!,1,1,1
7,farmers market,Visit St. Lawrence Market,St. Lawrence Market,92 Front St. East,Toronto,ON,M5E1C4,Canada,,http://stlawrencemarket.com,St. Lawrence Market,"fun, relaxed",0,,casual,,really great for a date,1,1,1
8,destination,Historic Main Street Unionville,Historic Main Street Unionville,Main Street Unionville,Unionville,ON,L3R 0M9,Canada,,http://www.unionvilleinfo.com/,Markham,"fun, romantic",0,,casual,,romantic!,1,1,1
9,American (New),Nota Bene Restaurant,Nota Bene,180 Queen St. W,Toronto,ON,M5V3X3,Canada,416.977.6400,http://notabenerestaurant.com,Downtown Yonge,romantic,$50+,American,"formal, stylish",,could be romantic,1,1,1
10,Cooking Schools,Couples Cooking Class at Calphalon,Calphalon Culinary Centre,425 King Street W,Toronto,ON,M5V1K4,Canada,416.847.2212,http://calphalonculinarycenter.com,King West,"fun, relaxed",$50+,,stylish,,,1,1,1
11,tapas bars,Nyood Restaurant and Bar,Nyood Restaurant and Bar,1096 Queen Street W,Toronto,ON,M6J1H9,Canada,416.466.1888,http://nyood.ca,Queen St. West,"relaxed, romantic",$50+,"Mediterranean, Fusion","formal, stylish","A romantic, stylish, yet surprisingly cozy restaurant, where sharing is caring as each dish is served tapas style, so you and your date can sample multiple dishes of delicious food together.

","Stylish, artsy, spacious and comfortable Ð this is the vibe Nyood gives off the second you step foot into this restaurant, which serves Ônouveau mediterraneanÓ cuisine spearheaded by chef Roger Mooking of Food TV fame.

Nyood offers a tapas style menu, where each plate is meant to be shared between two to three people. Some of the offerings include a selection of tasty flatbreads topped with duck prosciutto or Iberico ham. As well, there are many seafood options and vegetarian options. The menu includes a detailed mouth-watering description of each dish, so you know exactly what youÕre getting and how itÕs prepared.

Take note of the restaurantÕs decor, with its high ceilings,huge sky-high bookshelf filled with literary classics and floral-like chandeliers hanging over the expansive bar, as well as many different artsy light fixtures throughout. You will also notice the floral-like plaster mouldings etched into the ceiling, creating a beautiful, artistic, and intricately decorated space from ceiling to floor.

This is a great spot for a romantic date night, with great food, cocktails, and service. We heard the Sangrias were to die for! Request a private corner table away from the main entrance if you desire more privacy to enjoy your meal. Tables range from very open, next to the bar to cozy corners for couples, and is also suitable for larger parties.

Nyood Bar is also a great place for after hour drinks, open Thursday through Saturday of each week. This Queen West venue is a place to be seen with the chic, trendy and stylish bunch of this city.",1,1,1
12,museum,Textile Museum of Canada,Textile Museum of Canada,55 Centre Ave,Toronto,ON,M5G2H5,Canada,416.599.5321,http://textilemuseum.ca,Downtown Yonge,"relaxed, discovery",$10-$25,,casual,"A date idea for museum and gallery lovers who are looking for an alternative from the ROM or the AGO, this under the radar museum is the place for you. ","Here's a date idea for those who enjoy going to museums and art galleries, but rather not visit the ROM or the AGO. The Textile Museum of Canada is one of those museums in Toronto that few people know about, mainly due to it's smaller size.

Hidden away on a small side street not far between the Toronto Eaton Centre and the Art Gallery of Ontario, the museum is home to more than 12,000 objects from over 200 countries and regions.

The TMC's permanent collection celebrates cultural diversity and includes traditional fabrics, garments, carpets and related artifacts. They also host contemporary exhibitions of the work of Canadian and international artists. You can expect to find a new exhibit at the TMC about every six months.

General admission is $15 per person, but on Wednesdays from 5:00pm to 8:00pm it is ""pay what you can"".",1,1,1
13,cinema,Toronto Underground Cinema,Toronto Underground Cinema,186 Spadina Ave,Toronto,ON,M5T3B2,Canada,647.348.3420,http://torontoundergroundcinema.com,Queen West,relaxed,< $10,,casual,"Break away from the mould of big box chain of movie theatres from AMC, Cineplex and Famous Players and get back to the basics by playing movies that aren't just for the mainstream crowd.","Changing hands and changing names over the last few years, Toronto Underground Cinema prides itself on showcasing genre classics, B movie greats, indie art house and the pick of the best current Hollywood flicks.

They break away from the mould of big box chain of movie theatres from AMC, Cineplex and Famous Players and get back to the basics of the the ""Grindhouse"" feel of the 70's and 80's by playing movies that aren't just for the mainstream crowd.",1,1,1
14,climbing,Rock Oasis,Rock Oasis,27 Bathurst St,Toronto,ON,M5V2P1,Canada,416.703.3434,http://rockoasis.com,King West,"energetic, fun, adventurous",$10-$25,,"casual, athletic",Bored of sedentary movie and dinner dates? Why not challenge yourself and your date to an evening of great heights rock climbing?,"Challenge yourself and your date to an evening of great heights at the Rock Oasis. If you're looking for a date idea that sets itself apart form your usual sedentary  dinner and movie ritual, then this is the place for you.

This activity is suitable for everybody, from beginner level climbers to the very experienced. There are friendly trainers on site to help those first time climbers off their feet.

With more than 60 routes and more than 50 boulder problems for you to climb your way through, you can easily spend an entire evening here having fun challenging each other and getting in shape together at the same time.",1,1,1
